2026-06-07 04:01:11 | INFO     | main | SummarizeAI API starting up
2026-06-07 04:05:12 | INFO     | http | POST /api/v1/auth/register → 409 [906.1ms] ip=127.0.0.1
2026-06-07 04:05:28 | INFO     | http | POST /api/v1/auth/login → 200 [1252.9ms] ip=127.0.0.1
2026-06-07 04:05:28 | INFO     | websocket | WS connected  user=1fa0f855-6359-46f5-b715-2058a299b340  admin=False  total_connections=1
2026-06-07 04:05:29 | INFO     | http | GET /api/v1/users/me/stats → 200 [457.7ms] ip=127.0.0.1
2026-06-07 04:05:29 | INFO     | http | GET /api/v1/users/me/activity → 200 [460.9ms] ip=127.0.0.1
2026-06-07 04:05:29 | INFO     | http | GET /api/v1/users/me → 200 [582.0ms] ip=127.0.0.1
2026-06-07 04:05:29 | INFO     | http | GET /api/v1/summaries/ → 200 [476.4ms] ip=127.0.0.1
2026-06-07 04:05:29 | INFO     | http | GET /api/v1/users/me → 200 [14.2ms] ip=127.0.0.1
2026-06-07 04:05:29 | INFO     | http | GET /api/v1/users/me → 200 [7.7ms] ip=127.0.0.1
2026-06-07 04:05:44 | INFO     | http | PUT /api/v1/users/me → 200 [40.1ms] ip=127.0.0.1
2026-06-07 04:05:51 | INFO     | http | PUT /api/v1/users/me → 200 [29.4ms] ip=127.0.0.1
2026-06-07 04:06:02 | INFO     | http | GET /api/v1/summaries/ → 200 [27.7ms] ip=127.0.0.1
2026-06-07 04:06:04 | INFO     | http | GET /api/v1/users/me/stats → 200 [29.6ms] ip=127.0.0.1
2026-06-07 04:06:04 | INFO     | http | GET /api/v1/users/me/activity → 200 [31.6ms] ip=127.0.0.1
2026-06-07 04:06:06 | INFO     | http | GET /api/v1/summaries/ → 200 [20.0ms] ip=127.0.0.1
2026-06-07 04:08:46 | INFO     | app.services.summary_service | Summary created [tfidf] user=1fa0f855-6359-46f5-b715-2058a299b340 words=431→188
2026-06-07 04:08:46 | INFO     | http | POST /api/v1/summaries/ → 201 [1317.0ms] ip=127.0.0.1
2026-06-07 04:09:04 | INFO     | http | GET /api/v1/summaries/6b2266f3-6590-4870-8f0a-a69975fd180b/export → 200 [6606.5ms] ip=127.0.0.1
2026-06-07 04:09:04 | INFO     | http | GET /api/v1/summaries/6b2266f3-6590-4870-8f0a-a69975fd180b/export → 200 [64.9ms] ip=127.0.0.1
2026-06-07 04:09:19 | INFO     | http | GET /api/v1/users/me/stats → 200 [74.5ms] ip=127.0.0.1
2026-06-07 04:09:19 | INFO     | http | GET /api/v1/users/me/activity → 200 [282.7ms] ip=127.0.0.1
2026-06-07 04:09:19 | INFO     | http | GET /api/v1/summaries/ → 200 [285.7ms] ip=127.0.0.1
2026-06-07 04:09:42 | INFO     | http | PUT /api/v1/users/me → 200 [88.0ms] ip=127.0.0.1
2026-06-07 04:10:05 | INFO     | http | GET /api/v1/summaries/ → 200 [83.0ms] ip=127.0.0.1
2026-06-07 04:10:08 | INFO     | http | GET /api/v1/summaries/ → 200 [94.2ms] ip=127.0.0.1
2026-06-07 04:10:08 | INFO     | http | GET /api/v1/users/me/stats → 200 [104.0ms] ip=127.0.0.1
2026-06-07 04:10:08 | INFO     | http | GET /api/v1/users/me/activity → 200 [119.0ms] ip=127.0.0.1
2026-06-07 04:10:13 | INFO     | websocket | WS disconnected  user=1fa0f855-6359-46f5-b715-2058a299b340  total_connections=0
2026-06-07 10:46:34 | INFO     | main | SummarizeAI API starting up
2026-06-07 10:47:05 | INFO     | http | GET /api/v1/users/me → 401 [398.6ms] ip=127.0.0.1
